Angle,Time(ms),Worst,Worst_avg
1800,362129,38.9552,12.4270
900,310961,38.9478,12.5229
450,189970,38.9502,12.4360
300,215794,43.8243,12.4803
200,113170,38.9494,12.4551
180,152441,40.3742,12.4633
90,122058,72.7278,12.4909
45,50569,40.3796,12.4614
30,38551,45.0411,12.4449
20,32368,51.7593,12.5122
18,24659,45.0414,12.3898
9,16213,67.2488,12.4687
