Angle,Time(ms),Worst,Worst_avg
1800,92043,45.0578,12.3792
900,49449,45.0535,12.3934
450,23602,45.0429,12.3871
300,16179,45.0442,12.3791
200,11355,45.0408,12.3792
180,10619,45.0424,12.3792
90,6969,45.0417,12.3873
45,6091,54.2980,12.4591
30,6452,67.2491,12.5040
20,3921,67.2482,12.4672
18,4200,67.2483,12.4798
9,1985,67.2488,12.4722
