Angle,Time(ms),Worst,Worst_avg
1800,200537,39.9966,12.4607
900,92674,39.6076,12.4362
450,56574,42.0278,12.4619
300,130779,42.0111,12.4803
200,99098,45.0406,12.4659
180,60275,45.0411,12.4733
90,42149,45.0405,12.4713
45,17156,45.0411,12.4520
30,13719,45.0412,12.4242
20,9179,52.5703,12.4906
18,6467,45.0414,12.3827
9,6806,67.2488,12.4820
