Angle,Time(ms),Worst,Worst_avg
3600,786398,132.064,21.4556
1800,238550,94.6136,21.1423
900,250566,106.794,21.1283
600,221622,171.836,21.4638
400,343405,207.288,22.2387
360,128536,130.851,21.4125
180,77947,115.488,21.1265
90,53693,107.811,20.9115
60,55087,109.421,21.1624
40,21282,117.454,21.0320
36,21106,105.423,20.9059
18,24633,188.211,21.3480
