Angle,Time(ms),Worst,Worst_avg,
0.1,92043,45.0578,12.3792
0.2,49449,45.0535,12.3934
0.4,23602,45.0429,12.3871
0.6,16179,45.0442,12.3791
0.9,11355,45.0408,12.3792
1,10619,45.0424,12.3792
2,6969,45.0417,12.3873
4,6091,54.2980,12.4591
6,6452,67.2491,12.5040
9,3921,67.2482,12.4672
10,4200,67.2483,12.4798
20,1985,67.2488,12.4722
