Angle,Time(ms),Worst,Worst_avg
0.1,786398,132.064,21.4556
0.2,238550,94.6136,21.1423
0.4,250566,106.794,21.1283
0.6,221622,171.836,21.4638
0.9,343405,207.288,22.2387
1,128536,130.851,21.4125
2,77947,115.488,21.1265
4,53693,107.811,20.9115
6,55087,109.421,21.1624
9,21282,117.454,21.0320
10,21106,105.423,20.9059
20,24633,188.211,21.3480
