Quality Min,Quality,Topological,Contraction,Insertion,Smoothing
-40.000000,-2.202952,nan,nan,nan,nan
-40.000000,-2.439707,nan,nan,nan,nan
-40.000000,-2.834106,nan,nan,nan,nan
-40.000000,-3.385864,nan,nan,nan,nan
-40.000000,-4.094584,nan,nan,nan,nan
-40.000000,-4.959772,nan,nan,nan,nan
-40.000000,-5.980838,nan,nan,nan,nan
-40.000000,-7.157114,nan,nan,nan,nan
-40.000000,-8.487862,nan,nan,nan,nan
-40.000000,-9.972299,nan,nan,nan,nan
-40.000000,-11.609614,nan,nan,nan,nan
-40.000000,-13.303294,10.268084,nan,nan,nan
-40.000000,nan,5.134086,nan,nan,nan
-40.000000,nan,10.268084,nan,nan,nan
-40.000000,nan,10.268084,nan,nan,nan
-40.000000,nan,5.134005,nan,nan,nan
-40.000000,nan,5.134005,nan,nan,nan
-40.000000,nan,10.267907,nan,nan,nan
-40.000000,nan,10.267907,nan,nan,nan
-40.000000,nan,10.267790,nan,nan,nan
-40.000000,nan,10.267790,nan,nan,nan
-40.000000,nan,5.133868,nan,nan,nan
-40.000000,nan,5.133868,nan,nan,nan
-40.000000,nan,10.267734,nan,nan,nan
-40.000000,nan,10.267734,nan,nan,nan
-40.000000,nan,5.133812,nan,nan,nan
-40.000000,nan,5.133812,nan,nan,nan
-40.000000,nan,18.360791,nan,nan,nan
-40.000000,nan,5.133922,nan,nan,nan
-40.000000,nan,5.133907,nan,nan,nan
-40.000000,nan,5.133907,nan,nan,nan
-40.000000,nan,5.133907,nan,nan,nan
-40.000000,nan,5.133907,nan,nan,nan
-40.000000,nan,10.268013,nan,nan,nan
-40.000000,nan,10.268013,nan,nan,nan
-40.000000,nan,5.133928,nan,nan,nan
-40.000000,nan,5.133928,nan,nan,nan
-40.000000,nan,5.133954,nan,nan,nan
-40.000000,nan,5.133954,nan,nan,nan
-40.000000,nan,10.267784,nan,nan,nan
-40.000000,nan,10.267784,nan,nan,nan
-40.000000,nan,10.267602,nan,nan,nan
-40.000000,nan,10.267602,nan,nan,nan
-40.000000,nan,5.133865,nan,nan,nan
-40.000000,nan,5.133865,nan,nan,nan
-40.000000,nan,18.361084,nan,nan,nan
-40.000000,nan,5.134085,nan,nan,nan
-40.000000,nan,5.133864,nan,nan,nan
-40.000000,nan,5.133864,nan,nan,nan
-40.000000,nan,5.133864,nan,nan,nan
-40.000000,nan,5.133864,nan,nan,nan
-40.000000,nan,18.360812,nan,nan,nan
-40.000000,nan,5.133922,nan,nan,nan
-40.000000,nan,5.133860,nan,nan,nan
-40.000000,nan,10.267697,nan,nan,nan
-40.000000,nan,10.267697,nan,nan,nan
-40.000000,nan,10.267697,nan,nan,nan
-40.000000,nan,5.133738,nan,nan,nan
-40.000000,nan,18.360650,nan,nan,nan
-40.000000,nan,10.267777,nan,nan,nan
-40.000000,nan,10.267777,nan,nan,nan
-40.000000,nan,5.133866,nan,nan,nan
-40.000000,nan,10.267777,nan,nan,nan
-40.000000,nan,18.360769,nan,nan,nan
-40.000000,nan,4.323789,nan,nan,nan
-40.000000,nan,10.267777,nan,nan,nan
-40.000000,nan,10.267777,nan,nan,nan
-40.000000,nan,5.133977,nan,nan,nan
-40.000000,nan,18.360822,nan,nan,nan
-40.000000,nan,5.133800,nan,nan,nan
-40.000000,nan,18.360856,nan,nan,nan
-40.000000,nan,5.133830,nan,nan,nan
-40.000000,nan,8.378835,nan,nan,nan
-40.000000,nan,8.127380,nan,nan,nan
-40.000000,nan,10.267563,nan,nan,nan
-40.000000,nan,5.133665,nan,nan,nan
-40.000000,nan,10.267563,nan,nan,nan
-40.000000,nan,5.133665,nan,nan,nan
-40.000000,nan,5.133902,nan,nan,nan
-40.000000,nan,18.360888,nan,nan,nan
-40.000000,nan,5.133898,nan,nan,nan
-40.000000,nan,18.360858,nan,nan,nan
-40.000000,-14.929186,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.951683,10.853447
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.951633,10.853892
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.951633,10.853892
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.951556,10.854262
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.951378,10.854611
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,0.000000,0.000000,0.000000,0.000000
-40.000000,nan,15.536499,0.000000,0.000000,0.000000
-40.000000,nan,15.563779,0.000000,0.000000,0.000000
-40.000000,nan,15.563774,0.000000,0.000000,0.000000
-40.000000,nan,18.402361,nan,nan,nan
-40.000000,nan,18.402361,nan,nan,nan
-40.000000,nan,18.402361,nan,nan,nan
-40.000000,nan,18.402361,nan,nan,nan
-40.000000,nan,18.402341,nan,nan,nan
-40.000000,nan,18.402341,nan,nan,nan
-40.000000,nan,18.402341,nan,nan,nan
-40.000000,nan,18.402326,nan,nan,nan
-40.000000,nan,18.402326,nan,nan,nan
-40.000000,nan,18.402326,nan,nan,nan
-40.000000,nan,18.402313,nan,nan,nan
-40.000000,nan,18.402313,nan,nan,nan
-40.000000,nan,18.402313,nan,nan,nan
-40.000000,nan,18.402313,nan,nan,nan
-40.000000,nan,11.821665,nan,nan,nan
-40.000000,nan,11.821665,nan,nan,nan
-40.000000,nan,11.821665,nan,nan,nan
-40.000000,nan,11.821665,nan,nan,nan
-40.000000,nan,18.402314,nan,nan,nan
-40.000000,nan,18.402322,nan,nan,nan
-40.000000,nan,18.402322,nan,nan,nan
-40.000000,nan,18.402322,nan,nan,nan
-40.000000,nan,18.402294,nan,nan,nan
-40.000000,nan,18.402278,nan,nan,nan
-40.000000,nan,18.402278,nan,nan,nan
-40.000000,nan,18.402278,nan,nan,nan
-40.000000,nan,18.402289,nan,nan,nan
-40.000000,nan,18.402295,nan,nan,nan
-40.000000,nan,18.402295,nan,nan,nan
-40.000000,nan,18.402295,nan,nan,nan
-40.000000,nan,18.402295,nan,nan,nan
-40.000000,nan,18.402259,nan,nan,nan
-40.000000,nan,18.402259,nan,nan,nan
-40.000000,nan,18.402259,nan,nan,nan
-40.000000,nan,18.402293,nan,nan,nan
-40.000000,nan,15.809792,nan,nan,nan
-40.000000,nan,18.402293,nan,nan,nan
-40.000000,nan,18.402328,nan,nan,nan
-40.000000,nan,18.402271,nan,nan,nan
-40.000000,nan,13.544890,nan,nan,nan
-40.000000,nan,18.402271,nan,nan,nan
-40.000000,nan,15.809780,nan,nan,nan
-40.000000,nan,15.809780,nan,nan,nan
-40.000000,nan,15.809780,nan,nan,nan
-40.000000,nan,15.809780,nan,nan,nan
-40.000000,nan,18.402284,nan,nan,nan
-40.000000,nan,15.809785,nan,nan,nan
-40.000000,nan,18.402273,nan,nan,nan
-40.000000,nan,18.402273,nan,nan,nan
-40.000000,nan,15.809785,nan,nan,nan
-40.000000,nan,18.402283,nan,nan,nan
