Angle,Time(ms),Worst,Worst_avg
0.1,200537,39.9966,12.4607
0.2,92674,39.6076,12.4362
0.4,56574,42.0278,12.4619
0.6,130779,42.0111,12.4803
0.9,99098,45.0406,12.4659
1,60275,45.0411,12.4733
2,42149,45.0405,12.4713
4,17156,45.0411,12.4520
6,13719,45.0412,12.4242
9,9179,52.5703,12.4906
10,6467,45.0414,12.3827
20,6806,67.2488,12.4820
