Stretch,Time (ms),Worst,Average
1000,105737,35.5674,12.6951
500,56121,35.5637,12.7181
400,45630,35.5633,12.719
300,38523,35.5667,12.6761
200,35389,40.2077,12.735
100,16184,35.5685,12.7469
50,18419,40.1465,12.7511
10,5630,39.8195,12.7349
