Quality Min
0.3
0.866025,0.737729,0.569832,0.393872,0.408222,0.350699,0.35575,0.310616,0.307432,0.304249,0.326703,0.227501,0.161472,0.0520278,0.0983928,0.126539,0.341112,0.309231,0.329675,0.289021,0.315715,0.229642,0.317009,0.318516,0.305009,
