Quality Min
0.2
0.866025,0.737729,0.569832,0.393872,0.23471,0.299213,0.275479,0.21497,0.319035,0.207298,0.237064,0.253665,0.219698,0.214485,0.218835,0.218932,0.220055,0.265626,0.225646,0.204539,0.205669,0.205669,0.117072,0.210608,0.200169,
