Quality Min,Quality,Topological,Contraction,Insertion,Smoothing
0.300000,0.735386,nan,nan,nan,nan
0.300000,0.733388,nan,nan,nan,nan
0.300000,0.730371,nan,nan,nan,nan
0.300000,0.726308,nan,nan,nan,nan
0.300000,0.721167,nan,nan,nan,nan
0.300000,0.714913,nan,nan,nan,nan
0.300000,0.707507,nan,nan,nan,nan
0.300000,0.698908,nan,nan,nan,nan
0.300000,0.689079,nan,nan,nan,nan
0.300000,0.677989,nan,nan,nan,nan
0.300000,0.665611,nan,nan,nan,nan
0.300000,0.651933,nan,nan,nan,nan
0.300000,0.636953,nan,nan,nan,nan
0.300000,0.620687,nan,nan,nan,nan
0.300000,0.603166,nan,nan,nan,nan
0.300000,0.584442,nan,nan,nan,nan
0.300000,0.564588,nan,nan,nan,nan
0.300000,0.543695,nan,nan,nan,nan
0.300000,0.521875,nan,nan,nan,nan
0.300000,0.499260,nan,nan,nan,nan
0.300000,0.475998,nan,nan,nan,nan
0.300000,0.452252,nan,nan,nan,nan
0.300000,0.428193,nan,nan,nan,nan
0.300000,0.404003,nan,nan,nan,nan
0.300000,0.379862,nan,nan,nan,nan
0.300000,0.355949,nan,nan,nan,nan
0.300000,0.332436,nan,nan,nan,nan
0.300000,0.309480,nan,nan,nan,nan
0.300000,0.287227,-0.19137,-0.01665,-0.11392,0.000000
0.300000,nan,0.02026,-0.2364,-0.24402,0.000000
0.300000,nan,0.08077,0.07553,-0.24616,0.000000
0.300000,nan,0.05247,0.13626,0.03808,0.000000
0.300000,nan,0.09479,0.02967,0.08096,0.000000
0.300000,nan,-0.24075,0.11548,-0.2706,0.000000
0.300000,nan,0.27226,0.25279,0.02647,0.000000
0.300000,nan,-0.28591,-0.28205,-0.20702,0.000000
0.300000,nan,0.09517,-0.00596,-0.14878,0.000000
0.300000,nan,-0.175,-0.21208,-0.05761,0.000000
0.300000,nan,0.0765,0.29174,0.20849,0.000000
0.300000,nan,0.28227,0.06701,-0.29958,0.000000
0.300000,nan,0.1723,0.18546,-0.24909,0.000000
0.300000,nan,-0.26475,0.00458,0.00473,0.000000
0.300000,nan,0.1808,0.11698,0.11792,0.000000
0.300000,nan,-0.08062,0.14602,0.16627,0.000000
0.300000,nan,0.16466,-0.27862,0.25947,0.000000
0.300000,nan,0.12435,0.10397,0.05194,0.000000
0.300000,nan,0.17714,-0.01643,0.28209,0.000000
0.300000,nan,-0.02018,-0.07613,-0.0446,0.000000
0.300000,nan,-0.22151,0.01484,0.26061,0.000000
0.300000,nan,0.00601,-0.25102,-0.12961,0.000000
0.300000,nan,-0.22744,-0.05002,0.03615,0.000000
0.300000,nan,0.2287,-0.15113,0.03819,0.000000
0.300000,nan,0.02251,-0.20043,0.1909,0.000000
0.300000,nan,0.04858,-0.14716,-0.10338,0.000000
0.300000,nan,-0.16248,0.1285,-0.16264,0.000000
0.300000,nan,-0.24669,0.19891,-0.18533,0.000000
0.300000,nan,0.14462,-0.29472,0.23553,0.000000
0.300000,nan,-0.2501,0.11283,-0.1798,0.000000
0.300000,nan,-0.02232,0.18603,0.28727,0.000000
0.300000,nan,0.23748,-0.06866,0.18214,0.000000
0.300000,nan,-0.05648,0.20114,0.18754,0.000000
0.300000,nan,-0.09699,-0.2881,-0.02885,0.000000
0.300000,nan,-0.26847,0.08852,0.23811,0.000000
0.300000,nan,0.26151,0.2537,0.0287,0.000000
0.300000,nan,0.21499,-0.21516,0.02368,0.000000
0.300000,nan,0.12921,0.05753,-0.08978,0.000000
0.300000,nan,-0.00355,-0.14887,-0.27576,0.000000
0.300000,nan,-0.09258,0.11425,0.2457,0.000000
0.300000,0.265798,0.2002,0.00657,-0.14614,0.000000
0.300000,nan,0.0725,-0.27003,0.20826,0.000000
0.300000,nan,-0.01581,-0.08392,-0.04811,0.000000
0.300000,nan,0.10197,-0.25642,0.20255,0.000000
0.300000,nan,-0.21781,-0.29356,0.26458,0.000000
0.300000,nan,-0.27009,-0.29054,0.19787,0.000000
0.300000,nan,-0.05073,0.19121,0.17773,0.000000
0.300000,nan,-0.23483,-0.14191,-0.28903,0.000000
0.300000,nan,0.02595,0.10389,0.19955,0.000000
0.300000,nan,0.20694,-0.24396,0.10374,0.000000
0.300000,nan,0.13243,0.16035,0.27585,0.000000
0.300000,nan,-0.10301,0.07575,0.04847,0.000000
0.300000,nan,0.01258,-0.19549,0.16241,0.000000
0.300000,nan,-0.2286,0.01599,-0.07206,0.000000
0.300000,nan,-0.12476,0.25854,0.25767,0.000000
0.300000,nan,0.26724,-0.05736,-0.02394,0.000000
0.300000,nan,-0.03875,0.18889,0.29358,0.000000
0.300000,nan,-0.09457,0.2259,0.00545,0.000000
0.300000,nan,-0.17124,-0.02572,0.28903,0.000000
0.300000,nan,-0.10993,0.24786,-0.19216,0.000000
0.300000,nan,-0.18988,-0.10597,0.07689,0.000000
0.300000,nan,0.20057,-0.03666,-0.06802,0.000000
0.300000,nan,0.28877,-0.01421,0.10306,0.000000
0.300000,nan,0.23933,-0.07581,-0.1396,0.000000
0.300000,nan,0.25759,0.18648,-0.03688,0.000000
0.300000,nan,0.0574,-0.02543,0.22186,0.000000
0.300000,nan,-0.20133,0.12905,-0.21141,0.000000
0.300000,nan,-0.01299,-0.26524,0.23276,0.000000
0.300000,nan,0.17944,-0.16818,0.28874,0.000000
0.300000,nan,-0.22294,-0.02357,0.28916,0.000000
0.300000,nan,0.16869,0.10343,-0.10791,0.000000
0.300000,nan,-0.19906,-0.20393,-0.19148,0.000000
0.300000,nan,0.11153,-0.04996,0.13453,0.000000
0.300000,nan,-0.25143,-0.1259,-0.29166,0.000000
0.300000,nan,-0.23184,0.02006,-0.05303,0.000000
0.300000,nan,-0.07854,-0.10616,0.07357,0.000000
0.300000,nan,0.23102,0.1783,-0.23201,0.000000
0.300000,nan,0.2225,-0.17778,-0.09779,0.000000
0.300000,nan,-0.24528,0.22931,-0.29368,0.000000
0.300000,nan,0.26799,-0.12101,-0.06196,0.000000
0.300000,0.245299,-0.0115,-0.09129,0.23946,0.000000
0.300000,nan,-0.15674,0.03186,0.06028,0.000000
0.300000,nan,0.05313,-0.10924,-0.15949,0.000000
0.300000,nan,-0.229,0.1698,-0.16302,0.000000
0.300000,nan,0.14737,-0.15598,0.29004,0.000000
0.300000,nan,0.11299,-0.15896,0.22052,0.000000
0.300000,nan,-0.17851,0.05607,-0.21221,0.000000
0.300000,nan,0.08556,0.29806,-0.29518,0.000000
0.300000,nan,0.21947,0.1708,-0.16669,0.000000
0.300000,nan,-0.17725,-0.11998,-0.11648,0.000000
0.300000,nan,0.20608,0.23046,-0.09664,0.000000
0.300000,nan,-0.21451,0.25283,-0.28262,0.000000
0.300000,nan,0.26759,0.02456,0.23012,0.000000
0.300000,nan,0.26689,0.12421,-0.15607,0.000000
0.300000,nan,-0.06442,0.05205,-0.07285,0.000000
0.300000,nan,0.14857,0.27358,-0.16686,0.000000
0.300000,nan,0.04315,-0.05005,0.11112,0.000000
0.300000,nan,0.25098,0.2782,-0.29642,0.000000
0.300000,nan,-0.04948,0.24738,0.02172,0.000000
0.300000,nan,-0.00384,0.26408,0.14507,0.000000
0.300000,nan,-0.15598,0.03643,0.00465,0.000000
0.300000,nan,0.24303,0.29726,-0.11112,0.000000
0.300000,nan,0.22685,0.19786,-0.13534,0.000000
0.300000,nan,0.24007,-0.17302,0.08239,0.000000
0.300000,nan,0.05412,-0.03512,-0.20538,0.000000
0.300000,nan,-0.19976,0.24103,-0.18851,0.000000
0.300000,nan,-0.01251,0.06128,0.04365,0.000000
0.300000,nan,-0.16105,-0.11392,-0.21276,0.000000
0.300000,nan,-0.04615,0.06457,0.22495,0.000000
0.300000,nan,0.24241,0.0055,-0.19544,0.000000
