Quality Min
0.25
0.735386,0.733388,0.730371,0.726308,0.721167,0.714913,0.707507,0.698908,0.689079,0.677989,0.665611,0.651933,0.636953,0.620687,0.603166,0.584442,0.564588,0.543695,0.521875,0.49926,0.475998,0.452252,0.428193,0.404003,0.379862,0.355949,0.332436,0.30948,0.287226,0.265798,0.245298,0.225807,0.207385,0.190069,0.173875,
